M55150_at,M92287_at,U22376_cds2_s_at,X59417_at,X95735_at,U50136_rna1_at,AF009426_at,U57094_at,HG1612-HT1612_at,U59877_s_at,M31211_s_at,M31303_rna1_at,Z69881_at,D87078_at,S50223_at,M31523_at,U09087_s_at,M14483_rna1_s_at,M77142_at,U20998_at,U46499_at,Y12670_at,Y00433_at,L13278_at,D63880_at,L42572_at,X15414_at,D49950_at,U90546_at,U72342_at,X92106_at,M91432_at,cancer,patient
627,3633,2037,4646,178,1122,-24,313,4057,-492,475,5308,2131,152,43,1484,94,13624,33,359,91,465,8149,67,166,236,1076,214,195,4,130,335,ALL,39
503,522,1497,2141,105,1016,30,185,1585,-575,251,2364,320,363,373,606,5,7442,150,805,70,639,8741,216,-23,245,992,234,206,749,843,382,ALL,40
1565,5358,2105,3090,92,64,26,33,3600,-84,362,2158,1681,59,127,1751,135,15337,49,745,24,450,9176,100,376,272,1443,35,6,217,398,553,ALL,42
767,1338,2805,3198,399,1141,44,229,2425,-336,493,3042,1748,701,239,1052,100,6526,170,1803,63,342,12652,176,741,355,512,191,-86,590,6,638,ALL,47
927,8921,6996,10565,805,769,154,412,7275,-413,951,3994,3079,1473,776,2428,192,8049,260,2627,70,535,16129,461,579,816,3395,51,153,1892,962,1340,ALL,48
894,4174,2753,5279,-428,1390,45,309,2787,-578,356,5423,2427,410,-41,1467,213,20555,95,670,92,396,5916,119,391,274,1700,128,-226,66,623,799,ALL,49
181,6400,4240,3686,252,428,122,144,3367,-173,616,2678,1477,857,167,1479,114,20320,181,1797,45,203,6410,118,867,530,1300,-4,61,479,513,707,ALL,41
1165,3598,3821,3619,-52,646,158,377,2271,-48,329,2023,557,341,274,2148,26,10484,69,1288,165,389,12237,84,586,211,1281,43,-19,341,362,562,ALL,43
441,5600,3686,5420,-152,188,173,219,5083,-607,710,4112,1577,468,216,1955,200,19318,-112,1964,-87,244,7156,16,560,320,1343,97,25,320,289,575,ALL,44
309,7477,2943,3770,-61,470,36,256,2621,-369,467,2462,530,317,236,1275,32,10778,-166,739,14,466,7838,86,462,129,1576,142,0,78,351,747,ALL,45
385,6841,2809,3972,28,591,0,171,2388,-251,475,1520,1103,34,177,980,77,11089,70,431,-15,180,8085,69,368,245,1630,80,186,372,571,392,ALL,46
360,1814,2178,2962,43,682,49,230,1768,-51,348,1229,1004,58,106,1277,43,18058,0,524,43,86,5736,117,440,218,1185,12,63,85,310,334,ALL,70
310,1608,306,1076,509,931,-1,113,2097,-277,218,822,1918,106,2,828,110,8090,24,314,-2,396,3298,25,113,161,745,105,170,168,541,146,ALL,71
665,2420,1374,3102,417,1029,10,70,5088,-275,493,4559,1469,-65,163,1361,53,10928,142,833,94,754,5341,1,78,179,1643,146,-21,510,537,235,ALL,72
859,6203,8402,6609,1931,1049,164,171,4787,-293,580,3691,2553,974,439,3923,255,15502,214,1756,1,648,12719,179,734,859,2011,145,171,1083,763,1385,ALL,68
623,9155,5032,6622,395,1496,22,262,5499,-91,573,1700,2698,1392,607,1794,208,12125,224,2021,34,391,11796,91,545,577,1890,84,133,659,651,1012,ALL,69
654,2474,1358,1438,2451,993,2,303,7408,-44,200,2248,1918,400,31,929,13,10667,55,727,38,501,6284,1,72,194,377,53,-27,331,211,140,ALL,67
781,3375,1188,2833,878,861,14,174,2626,-224,439,2374,426,142,-42,821,-12,13301,-17,444,27,244,11855,-4,449,237,1360,74,32,282,686,339,ALL,55
669,2417,2075,648,162,973,-46,164,3229,-296,190,3038,5054,401,56,1297,131,8958,72,862,167,244,4405,33,494,195,1060,2,-61,224,540,496,ALL,56
261,7867,4961,4913,373,571,33,231,2620,27,592,2714,3868,305,106,1087,33,12897,61,472,38,101,19415,144,691,322,823,205,223,167,294,155,ALL,59
801,1342,407,1439,2007,541,-17,312,649,408,248,775,541,-29,-22,139,-4,2332,29,267,892,442,17753,3,131,264,563,109,-108,222,180,163,AML,52
1534,1062,2585,666,3870,3568,-75,446,4118,-513,158,1320,193,701,45,388,-1,20883,248,599,1233,4460,10910,-21,94,100,534,106,-123,439,372,135,AML,53
1339,583,376,764,2335,2335,4,263,522,-543,64,1140,537,-221,2,110,50,8126,0,506,1269,683,13818,-80,209,181,410,211,-90,34,265,126,AML,51
1895,1451,1238,1683,5814,2442,26,454,815,-39,70,1079,219,-142,48,197,45,12833,57,530,1582,729,15832,38,164,286,622,346,-27,-87,274,225,AML,50
1811,626,2685,1629,4403,1083,-14,932,690,81,575,3085,1546,480,26,282,185,12965,84,1666,643,458,21734,76,335,338,1234,204,-18,494,386,413,AML,54
1147,851,2295,469,2287,721,15,369,397,-19,21,1428,1271,277,-21,196,19,9251,119,648,1267,318,6932,-29,326,121,656,96,-92,86,357,196,AML,57
1656,751,562,420,2871,2392,-55,395,1696,105,173,1530,250,-216,-126,268,-6,6729,-46,154,1480,333,23494,64,238,132,615,151,24,6,293,129,AML,58
880,528,2564,1151,2122,723,19,374,870,531,137,2285,704,329,-26,461,82,9166,42,1246,1568,391,9135,9,428,279,582,183,20,307,261,412,AML,60
1263,754,934,1012,3186,1023,-60,327,2704,-169,201,1842,2007,114,-49,446,58,7226,78,446,3166,485,13635,-34,95,97,838,175,-21,8,513,422,AML,61
610,456,427,614,2194,2349,-30,317,1478,-7,198,1856,675,-194,-99,375,-25,13581,6,301,1550,323,17819,-17,156,204,540,218,-116,-115,202,179,AML,65
749,836,834,2284,543,775,34,128,819,-91,226,1306,1162,-32,17,528,49,11014,-26,1356,163,410,4709,67,349,393,1397,65,-15,106,293,362,AML,66
1476,1152,537,1453,5949,2502,26,496,1427,-284,74,1716,-140,121,-130,253,76,8132,53,1046,2767,656,18230,87,318,418,1097,250,-17,304,396,462,AML,63
3220,227,3201,986,4174,3190,21,450,680,-775,51,1661,2789,864,-140,450,119,3928,634,718,1415,1152,24106,113,325,680,867,455,352,1076,745,273,AML,64
1295,1957,417,720,7133,1030,-139,544,1621,271,94,1037,1524,437,16,328,71,4281,37,1179,1121,676,14188,113,333,335,634,333,32,597,224,384,AML,62
